country_code,mapped_bvdId,mapped_name,mapping_score,original_name,company_name,BvD ID number ,Country ISO code,"NACE Rev. 2, core code (4 digits)","NAICS 2017, core code (4 digits)",Major sectors,GUO - BvD ID number,GUO - Country ISO code,Status,Date of incorporation,Fixed assets <th USD 2016>,Intangible fixed assets <th USD 2016>,Tangible fixed assets <th USD 2016>,Other fixed assets <th USD 2016>,Current assets <th USD 2016>,Stock <th USD 2016>,Debtors <th USD 2016>,Other current assets <th USD 2016>,Cash & cash equivalent <th USD 2016>,Total assets <th USD 2016>,Shareholders funds <th USD 2016>,Capital <th USD 2016>,Other shareholders funds <th USD 2016>,Non-current liabilities <th USD 2016>,Long term debt <th USD 2016>,Other non-current liabilities <th USD 2016>,Provisions <th USD 2016>,Current liabilities <th USD 2016>,Loans <th USD 2016>,Creditors <th USD 2016>,Other current liabilities <th USD 2016>,Total shareh. funds & liab. <th USD 2016>,Working capital <th USD 2016>,Net current assets <th USD 2016>,Enterprise value <th USD 2016>,Number of employees <2016>,Operating revenue (Turnover) <th USD 2016>,Sales <th USD 2016>,Costs of goods sold <th USD 2016>,Gross profit <th USD 2016>,Other operating expenses <th USD 2016>,Operating P/L [=EBIT] <th USD 2016>,Financial P/L <th USD 2016>,Financial revenue <th USD 2016>,Financial expenses <th USD 2016>,P/L before tax <th USD 2016>,Taxation <th USD 2016>,P/L after tax <th USD 2016>,Extr. and other P/L <th USD 2016>,Extr. and other revenue <th USD 2016>,Extr. and other expenses <th USD 2016>,P/L for period [=Net income] <th USD 2016>,Export revenue <th USD 2016>,Material costs <th USD 2016>,Costs of employees <th USD 2016>,Depreciation & Amortization <th USD 2016>,Other operating items <th USD 2016>,Interest paid <th USD 2016>,Research & Development expenses <th USD 2016>,Cash flow <th USD 2016>,Added value <th USD 2016>,EBITDA <th USD 2016>
SSA,DE8171005190,AFRICATEL GMBH & CO. KG,scoreB,AfricaTel (PT),AFRICATEL GMBH & CO. KG,DE8171005190,DE,6420,5511,Other services,BR76535764000143,BR,Active,28/11/2013,"1,202,728",0,0,"1,202,728","2,409",0,0,"2,409","2,083","1,205,137","1,202,942","4,585","1,198,356",45,0,45,45,"2,150",0,13,"2,137","1,205,137",-13,259,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
CI,CI0000059726,SOCIETE AFRIQUE EMERGENT SARL,scoreB,Afrique Emergenc,SOCIETE AFRIQUE EMERGENT SARL,CI0000059726,CI,4690,4239,Wholesale & retail trade, , ,Active,18/05/2015,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
SL,,,,Afromeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX,,,,AGH labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG,,,,Agora Mall Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZM,,,,Agrifos Kingpie Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PK,PK0070280,AGROW LIMITED,scoreA,Agrow,AGROW LIMITED,PK0070280,PK, , , , , ,Active,24/08/2009,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
MX,MXAIM940815TE8,AGUAS INDUSTRIALES MEXICANAS SA,scoreB,Aguas Mexicans,AGUAS INDUSTRIALES MEXICANAS SA,MXAIM940815TE8,MX, , , , , ,Active,15/08/1994,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
GR,,,,AirGo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,US65697-111,AIRPORT SHOPPES CORP,scoreA,Airport Shoppes,AIRPORT SHOPPES CORP,US65697-111,US, , , ,BR17314329000120,BR,Active,2013,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
CN,CN*1550168205,"AIRTV UNITED MEDIA & CULTURE CO., LTD.",scoreD,AirTV,"AIRTV UNITED MEDIA & CULTURE CO., LTD.",CN*1550168205,CN, , , ,KY30063WB,KY,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
RU,RU*110140853208,AIREST RUSSIA OOO,scoreD,AIST-Russia,AIREST RUSSIA OOO,RU*110140853208,RU, , , , , ,Active, ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
IN,IN0014337891,AIZANT PHARMACEUTICALS PRIVATE LIMITED,scoreB,Aizant,AIZANT PHARMACEUTICALS PRIVATE LIMITED,IN0014337891,IN,2013,3251,"Chemicals, rubber, plastics, non-metallic products", , ,Active,08/04/2015,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
CD,,,,Ajani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECS,TR1529554F,AKG GAZBETON ISLETMELERI SANAYI VE TICARET ANONIM SIRKETI,scoreC,AKG Gazbeton,AKG GAZBETON ISLETMELERI SANAYI VE TICARET ANONIM SIRKETI,TR1529554F,TR,2361,3273,"Chemicals, rubber, plastics, non-metallic products",TR254110F,TR,Active,01/06/2011,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
GE,GE426519920,ALAZANI 2,scoreA,Alazani 2,ALAZANI 2,GE426519920,GE,8551,6116,"Education, Health", , ,In liquidation,17/05/2012,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
GT,,,,Alcance Integral - GRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSA,GB01761703,ALLIED CATERING LIMITED,scoreA,Allied Catering,ALLIED CATERING LIMITED,GB01761703,GB,5629,7223,Hotels & restaurants,GB01648183,GB,Active (dormant),14/10/1983,0,n.a.,n.a.,n.a.,0,0,0,0,n.a.,0,0,0,0,0,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
