match_name|player_name|score
SANPOWER GROUP CO., LTD.|Learners Guild|51
|Lejack|-1
STATE GRID FUJIAN ELECTRIC POWER CO., LTD.|Lekki Blue Water_ CAPIC Fund|51
|Lemchabang Port|-1
|L'Equipe Monteur|-1
|Les Elites|-1
|Lexander|-1
LONGFOR PROPERTIES CO. LTD.|LF Properties Development CC|68
|Li Tong|-1
|Liberia Woodwork|-1
CK ASSET HOLDINGS LIMITED|Light E Holding|65
|Lilas|-1
|Lincoln Lub|-1
|Linetrale|-1
|LinkDoc|-1
|LittleBits|-1
|Live Ad|-1
|Livspace|-1
|Lufax|-1
|LunchOn|-1
NWS HOLDINGS LIMITED|Lymex Hldgs|58
CHINA CINDA ASSET MANAGEMENT CO., LTD|M  K Property Management|61
CRBS S/A|M Star Melchers|52
|M&E Leasing|-1
|MA Herimalala|-1
|Mabtech|-1
|Madaltax|-1
|Madame Figaro|-1
|Magnesita|-1
|Maize Milling|-1
|MakeSchool|-1
|Malucelli|-1
SHANGHAI HECHENG INTERNATIONAL TRAVEL AGENCY CO., LTD.|Mango Ad Agency|57
|Manipal|-1
|ManoRiver|-1
|Mansard|-1
|Marche Multirasa|-1
|Mardil Med|-1
|MArillion II|-1
XIAMEN AIRLINES|Marillion Pharma|52
|Master Change|-1
|Maxaren|-1
HUAWEI INVESTMENT & HOLDING CO., LTD.|Maxcard Holding|64
|Maximum Test|-1
AGROKOR D.D.|Maykor|53
|Mbuyuy|-1
|Medecines Nuit|-1
|MEDIFAR|-1
RELIANCE RETAIL LIMITED|Mega Lifescience|51
NIKE SPORTS (CHINA) CO., LTD.|Megaport Int'l|53
|Mentor|-1
|Mercatus|-1
|MexVi|-1
KIT FINANCE LTD|MFM Fnancial|52
|MFX|-1
TECH MAHINDRA LIMITED|MIBL (Mahindra)|76
|Microinvest Loan|-1
|Micurx Pharma|-1
|Mimosa Goodlife|-1
|Minerva Project|-1
|Mingtang|-1
|Mira-Ceti|-1
JINKO SOLAR CO., LTD.|Mirkala Solar|58
|MissionU|-1
|MKL|-1
|MLE|-1
|Mobalytics|-1
|Mobilio|-1
|MOBISOL TAN|-1
|Moglix|-1
|Mojing|-1
|Momao|-1
MUMT|Momenta|55
CHINA FOODS LIMITED|monte carlo fash|51
|Morvigor|-1
|Mowdok|-1
KIT FINANCE LTD|Mpower Financing|52
|MTNN|-1
MUMT|MUA|57
TECH-COM (SHANGHAI) COMPUTER CO., LTD.|Muller Tech|53
|Mutandis Morocco|-1
|MyNFO|-1
|MyTherapist|-1
|N-50 Underlying|-1
|Nafith|-1
|NAHHG - Egypt|-1
|NAHHG - Tunisia|-1
|Naochuanyue|-1
|Napo Pharma|-1
|NDEP|-1
CLARO S.A.|Negros Nav|53
|NeoGrowth|-1
|Neozeka|-1
|Nepra|-1
|Netcad|-1
|New Force|-1
|New Horizon Health|-1
|NewGlobe Schools|-1
|Newspeed|-1
|Newswire 18|-1
|Nexchem|-1
|NFCH|-1
|NFWare|-1
CHINA PINGMEI SHENMA ENERGY AND CHEMICALS GROUP CO., LTD.|N-G Chemicals|82
|NGM|-1
HUAWEI INVESTMENT & HOLDING CO., LTD.|NGN Investment|83
AURORA TRADING CO LTD|NGO Aurora ABSL|57
AURORA TRADING CO LTD|NGO Aurora ABSL|57
NORTHERN POWER CORPORATION|Northern Lights|70
TIPSONS FINANCIAL SERVICES PRIVATE LIMITED|Northstar Financial Service|58
|Nova (Farutex)|-1
TENCENT HOLDINGS LIMITED|NP Holdings|84
BIZNES-FINANS|NQ (Vinasun)|52
|NRJ|-1
