	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
6566	Sequoia Capital	ZTO Express	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Industrial Transportation	Delivery Services	Air Freight & Logistics	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Growth	30	13-May	2013	0.0	
6567	Summit Partners	Zalora	Asia	Southeast Asia	Singapore	SGP	SG	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth		13-May	2013	0.0	
6568	The Carlyle Group	Al-Nabil Food Industries	MENA	Middle East	Jordan	JOR	JO	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Growth		13-May	2013	0.0	
6569	Goldman Sachs Merchant Banking Division (MBD)	BPL Medical Technologies	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Medical Equipment	Health Care Equipment & Supplies	S Health Care	Health Care	Private Equity	Growth	20	13-May	2013	0.0	
6570	Clearwater Capital Partners	GSS Infotech	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	PIPE	0.3	13-May	2013	0.0	0.730940215
6571	Leopard Capital	dloHaiti	Latin America	Caribbean	Haiti	HTI	HT	Utilities	Utilities	Gas, Water & Multi-utilities	Water	Water Utilities	C Utilities	Utilities	Private Equity	Growth	1	13-May	2013	1.0	
6572	Canaan Partners, Mayfield Fund	India Property Online (Indiaproperty.com)	Asia	South Asia	India	IND	IN	Financials	Real Estate	Real Estate Investment & Services	Real Estate Services	Real Estate Management & Development	D Construction and Real Estate	Construction and Real Estate	Private Equity	Venture Capital	7	13-May	2013	0.0	
6573	Practica Capital	Gaudre	CEE & CIS	Central & Eastern Europe (CEE)	Lithuania	LTU	LT	Consumer Goods	Personal & Household Goods	Household Goods & Home Construction	Durable Household Products	Household Durables	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	1	13-May	2013	0.0	
6574	CLSA Capital Partners	Camson Bio Technologies	Asia	South Asia	India	IND	IN	Basic Materials	Chemicals	Chemicals	Specialty Chemicals	Chemicals	G Chemicals	Chemicals	Private Equity	PIPE	10	13-May	2013	1.0	
6575	Gavea Investimentos	Camisaria Colombo	Latin America	South America	Brazil	BRA	BR	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	75	13-May	2013	0.0	
