	Fund Manager(s)	Company Name	Region	Sub-Region	Country	country code	country code_2	ICB Industry	ICB Supersector	ICB Sector	ICB Subsector	GICS Industry [column F]	IFC primary sector	IFC primary sector (#)	Asset Class	Investment Type	Investment Amount (US$m)	Investment Date	year	IFC	valuation
7554	Tembusu Partners	OOB Media	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Growth		12-Jun	2012	0.0	
7555	Northern Light Venture Capital (NLVC)	Zonton Oil&Gas	Asia	East Asia	China	CHN	CN	Oil & Gas	Oil & Gas	Oil Equipment, Services & Distribution	Oil Equipment & Services	Energy Equipment & Services	B Oil, Gas and Mining	Oil, Gas and Mining	Private Equity	Venture Capital		12-Jun	2012	0.0	
7556	Accel Partners, Tiger Global Management, Valor Capital Group	Baby.com.br	Latin America	South America	Brazil	BRA	BR	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	17	12-Jun	2012	0.0	
7557	Pan-African Private Equity Funds (PAPE)	JoJo Tanks	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Industrials	Industrial Goods & Services	General Industrials	Containers & Packaging	Containers & Packaging	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Growth		12-Jun	2012	0.0	
7558	GGV Capital	Aegis Petroleum Technology	Asia	East Asia	China	CHN	CN	Industrials	Industrial Goods & Services	Support Services	Waste & Disposal Services	Commercial Services & Supplies	C Utilities	Utilities	Private Equity	Venture Capital	10	12-Jun	2012	0.0	
7559	Runa Capital	Dnevnik.ru	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	5	12-Jun	2012	0.0	
7560	Bancroft Private Equity	Graniser	CEE & CIS	Central & Eastern Europe (CEE)	Turkey	TUR	TR	Industrials	Construction & Materials	Construction & Materials	Building Materials & Fixtures	Building Products	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Private Equity	Buyout	75	12-Jun	2012	1.0	
7561	VTB Capital	Burger Rus (Burger King Russia)	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth	100	12-Jun	2012	0.0	
7562	Insight Venture Partners, Alpha Associates, Da Vinci Capital Management, Runa Capital	B2B-Center	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital		12-Jun	2012	1.0	
7563	Sequoia Capital	Citrus Payment Solutions	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Consumer Finance	Consumer Finance	O Finance & Insurance	Finance & Insurance	Private Equity	Venture Capital	2	12-Jun	2012	0.0	
7564	XSML	Millenium Telecom	Sub-Saharan Africa	Central Africa	Central African Republic	CAF	CF	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Growth		12-Jun	2012	1.0	
7565	Cartesian Capital Group	Burger King Worldwide Holdings TBD China	Asia	East Asia	China	CHN	CN	Consumer Services	Travel & Leisure	Travel & Leisure	Restaurants & Bars	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Growth		12-Jun	2012	0.0	
7566	Runa Capital	LinguaLeo	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	3	12-Jun	2012	0.0	
7567	Gerens Capital	Happyshop	Latin America	South America	Chile	CHL	CL	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	4	12-Jun	2012	0.0	
7568	Verusa Private Equity	Alden Celik	CEE & CIS	Central & Eastern Europe (CEE)	Turkey	TUR	TR	Basic Materials	Basic Resources	Industrial Metals & Mining	Iron & Steel	Metals & Mining	I Primary Metals	Primary Metals	Private Equity	Growth		12-Jun	2012	0.0	
7569	Jacob Ballas Capital India	SRL Diagnostics	Asia	South Asia	India	IND	IN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth	44	12-Jun	2012	0.0	16.00495516
7570	Mount Kellett Capital Management	Educomp Solutions	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Training & Employment Agencies	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	PIPE	28	12-Jun	2012	0.0	2.592628215
7571	Sequoia Capital	JustDial	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Growth	55	12-Jun	2012	0.0	316.26914389999996
7572	IDG Ventures India	Aujas Networks	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		12-Jun	2012	0.0	
7573	Pragati India Fund	Saija Finance	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	5	12-Jun	2012	0.0	
7574	Seedfund	Jeeves	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		12-Jun	2012	0.0	
7575	AMP Capital Investors	Shalivahana Green Energy	Asia	South Asia	India	IND	IN	Utilities	Utilities	Electricity	Alternative Electricity	Independent Power and Renewable Electricity Producers	V Electric Power	Utilities	Infrastructure & Real Assets	Growth	29	12-Jun	2012	0.0	
7576	Kendall Court	Singapore Medical Group	Asia	Southeast Asia	Singapore	SGP	SG	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	PIPE	4	12-Jun	2012	0.0	5.602158183999999
7577	The Abraaj Group	Viking Drilling International	CEE & CIS	Central & Eastern Europe (CEE)	Turkey	TUR	TR	Oil & Gas	Oil & Gas	Oil Equipment, Services & Distribution	Oil Equipment & Services	Energy Equipment & Services	B Oil, Gas and Mining	Oil, Gas and Mining	Private Equity	Buyout		12-Jun	2012	0.0	
7578	BTG Pactual	Contrail	Latin America	South America	Brazil	BRA	BR	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Infrastructure & Real Assets	Growth	50	12-Jun	2012	0.0	
7579	Kaizen Private Equity	Your Kids 'R' Our Kids Education (YKROK)	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	4	12-Jun	2012	1.0	
7580	Knox Investment Partners	Global Geomatics	Sub-Saharan Africa	Southern Africa	South Africa	ZAF	ZA	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Buyout		12-Jun	2012	0.0	
7581	SAIF Partners	Blue Star India	Asia	South Asia	India	IND	IN	Industrials	Construction & Materials	Construction & Materials	Building Materials & Fixtures	Building Products	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Private Equity	PIPE	3	12-Jun	2012	0.0	
7582	IDG Ventures India	iViz Techno Solutions	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital		12-Jun	2012	0.0	
7583	Sequoia Capital	Freecultr.com	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	9	12-Jun	2012	0.0	
7584	Matrix Partners	Shanghai Qiniu Information Technologies	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Growth		12-Jun	2012	0.0	
7585	CVC Capital Partners	C.banner International Holdings	Asia	East Asia	China	CHN	CN	Consumer Goods	Personal & Household Goods	Personal Goods	Clothing & Accessories	Textiles, Apparel & Luxury Goods	K Textiles, Apparel & Leather	Textiles, Apparel & Leather	Private Equity	PIPE	104	12-Jun	2012	0.0	27.85735755
7586	Kleiner Perkins Caufield & Byers (KPCB)	Reverse Logistics Company (GreenDust)	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Growth	5	12-Jun	2012	0.0	
7587	SAIF Partners, Tiger Global Management	Zovi.com	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	10	12-Jun	2012	0.0	
7588	Samara Capital Partners	Monte Carlo Fashions	Asia	South Asia	India	IND	IN	Consumer Goods	Personal & Household Goods	Personal Goods	Clothing & Accessories	Textiles, Apparel & Luxury Goods	K Textiles, Apparel & Leather	Textiles, Apparel & Leather	Private Equity	Growth	31	12-Jun	2012	1.0	17.116097399999997
7589	The Abraaj Group	Saham Finances	MENA	North Africa	Morocco	MAR	MA	Financials	Insurance	Nonlife Insurance	Full Line Insurance	Insurance	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		12-Jun	2012	1.0	375.0
7590	TransLink Capital, Vangoo Capital Partners	Beijing Adwo Mobile Media Technology	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital	12	12-Jun	2012	0.0	
7591	CapMan, UFG Asset Management	KDL Group	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth		12-Jun	2012	1.0	
7592	Frontier Ventures	TravelRent.com	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Travel & Leisure	Travel & Leisure	Travel & Tourism	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Venture Capital	2	12-Jun	2012	0.0	
7593	NewMargin Ventures	Majestic Gold	Asia	East Asia	China	CHN	CN	Basic Materials	Basic Resources	Mining	Gold Mining	Metals & Mining	B Oil, Gas and Mining	Oil, Gas and Mining	Private Equity	Growth	36	12-Jun	2012	0.0	
7594	STIC Investments	Hyundai Oilbank	Asia	East Asia	South Korea	KOR	KR	Oil & Gas	Oil & Gas	Oil & Gas Producers	Exploration & Production	Energy Equipment & Services	B Oil, Gas and Mining	Oil, Gas and Mining	Private Equity	Growth	28	12-Jun	2012	0.0	
7595	Vinci Partners	Cecrisa	Latin America	South America	Brazil	BRA	BR	Industrials	Construction & Materials	Construction & Materials	Building Materials & Fixtures	Building Products	H Nonmetallic Mineral Product Manufacturing	Nonmetallic Mineral Product Manufacturing	Private Equity	Buyout	124	12-Jun	2012	0.0	
7596	Mangrove Capital Partners, ABRT Venture Fund, Addventure	HomeMe.ru	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Retail	General Retailers	Home Improvement Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	5	12-Jun	2012	0.0	
7597	Accel Partners, Acton Capital Partners, Balderton Capital	KupiVIP	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Retail	General Retailers	Broadline Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	38	12-Jun	2012	0.0	
7598	New Asia Investments	De.Mem	Asia	Southeast Asia	Singapore	SGP	SG	Industrials	Industrial Goods & Services	Industrial Engineering	Industrial Machinery	Machinery	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital		12-Jun	2012	0.0	
7599	Sequoia Capital	OneAssist Consumer Solutions	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	4	12-Jun	2012	0.0	
7600	XSML	Le Palmier	Sub-Saharan Africa	Central Africa	Democratic Republic of the Congo	COD	CD	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth		12-Jun	2012	1.0	
7601	ACON Investments	BSM Engenharia	Latin America	South America	Brazil	BRA	BR	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Growth	54	12-Jun	2012	0.0	
7602	BR Opportunities	Flores Online	Latin America	South America	Brazil	BRA	BR	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth		12-Jun	2012	0.0	
7603	Sycamore Ventures	Surana Industries	Asia	South Asia	India	IND	IN	Basic Materials	Basic Resources	Industrial Metals & Mining	Iron & Steel	Metals & Mining	I Primary Metals	Primary Metals	Private Equity	PIPE	10	12-Jun	2012	0.0	
7604	Walden International	YFind Technologies	Asia	Southeast Asia	Singapore	SGP	SG	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital	2	12-Jun	2012	0.0	
7605	Norwest Venture Partners (NVP), Draper Fisher Jurvetson (DFJ), Helion Venture Partners, Nexus Venture Partners	Komli Media	Asia	South Asia	India	IND	IN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital	39	12-Jun	2012	0.0	
7606	TA Associates	Omega Healthcare Management Services	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Financial Administration	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Buyout	94	12-Jun	2012	0.0	
7607	ChinaEquity, Shenzhen Cowin Venture Capital	Wine9.com	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	Food & Drug Retailers	Food Retailers & Wholesalers	Food & Staples Retailing	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		12-Jun	2012	0.0	
7608	Resource Partners, Ardian	Delicpol	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Growth		12-Jun	2012	0.0	
7609	Unitas Capital	NEPA	Asia	East Asia	South Korea	KOR	KR	Consumer Goods	Personal & Household Goods	Personal Goods	Clothing & Accessories	Textiles, Apparel & Luxury Goods	K Textiles, Apparel & Leather	Textiles, Apparel & Leather	Private Equity	Growth	162	12-Jun	2012	0.0	
7610	IFC Asset Management Company (AMC)	Persianas Group	Sub-Saharan Africa	West Africa	Nigeria	NGA	NG	Financials	Real Estate	Real Estate Investment & Services	Real Estate Holding & Development	Real Estate Management & Development	D Construction and Real Estate	Construction and Real Estate	Private Equity	Growth	37	12-Jun	2012	1.0	
7611	United Managers Japan (UMJ)	MirVracha.ru	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	1	12-Jun	2012	0.0	
7612	NBK Capital Partners	Eikon International	MENA	Middle East	United Arab Emirates	ARE	AE	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Credit	Mezzanine	10	12-Jun	2012		
7613	Olma Invest	Dimeres	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Venture Capital	1	12-Jun	2012	0.0	
7614	EQT	China Healthcare Group (ECON Healthcare)	Asia	Southeast Asia	Singapore	SGP	SG	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Buyout	9	12-Jun	2012	0.0	
7615	Southern Cross Group	Estrella International Energy Services	Latin America	South America	Argentina	ARG	AR	Oil & Gas	Oil & Gas	Oil Equipment, Services & Distribution	Oil Equipment & Services	Energy Equipment & Services	B Oil, Gas and Mining	Oil, Gas and Mining	Private Equity	Buyout	25	12-Jun	2012	0.0	
7616	Silk Invest	NasFood	Sub-Saharan Africa	East Africa	Ethiopia	ETH	ET	Consumer Goods	Food & Beverage	Food Producers	Food Products	Food Products	F Food & Beverages	Food & Beverages	Private Equity	Growth		12-Jun	2012	0.0	
7617	SAIF Partners	China TransInfo Technology	Asia	East Asia	China	CHN	CN	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	PIPE	12	12-Jun	2012	0.0	
7618	Patria Investimentos	MDT Group	Latin America	South America	Brazil	BRA	BR	Health Care	Health Care	Health Care Equipment & Services	Medical Equipment	Health Care Equipment & Supplies	S Health Care	Health Care	Private Equity	Buyout		12-Jun	2012	0.0	
7619	Extream Ventures	Sambaash	Asia	Southeast Asia	Singapore	SGP	SG	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	2	12-Jun	2012	0.0	
7620	IFC Asset Management Company (AMC)	Banco de Oro (BDO) UniBank	Asia	Southeast Asia	Philippines	PHL	PH	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	PIPE	45	12-Jun	2012	1.0	
7621	Development Partners International	Touax Africa	MENA	North Africa	Morocco	MAR	MA	Consumer Goods	Personal & Household Goods	Household Goods & Home Construction	Home Construction	Household Durables	D Construction and Real Estate	Construction and Real Estate	Private Equity	Buyout	12	12-Jun	2012	1.0	
7622	IFC Asset Management Company (AMC)	UT Bank Ghana	Sub-Saharan Africa	West Africa	Ghana	GHA	GH	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Credit	Mezzanine	15	12-Jun	2012		
7623	CITIC Capital Partners	China Universal Leasing	Asia	East Asia	China	CHN	CN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	50	12-Jun	2012	0.0	
7624	SAIF Partners	Ryzur Exiom Medical Investment	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Health Care Equipment & Services	Medical Equipment	Health Care Equipment & Supplies	S Health Care	Health Care	Private Equity	Venture Capital	2	12-Jun	2012	0.0	
7625	VTB Capital	Luxoft	CEE & CIS	Commonwealth of Independent States (CIS)	Russia	RUS	RU	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth		12-Jun	2012	0.0	95.2
7626	CMIA Capital Partners	Jiangsu Emerald Asia Modern Agriculture Technology	Asia	East Asia	China	CHN	CN	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Equity	Growth		12-Jun	2012	0.0	
7627	Warburg Pincus	Capital First	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Investment Services	Capital Markets	O Finance & Insurance	Finance & Insurance	Private Equity	Buyout	94	12-Jun	2012	0.0	275.8556765
7628	SAIF Partners	Edelweiss Financial Services	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	PIPE		12-Jun	2012	0.0	184.74804709999998
7629	Faering Capital, India Alternatives Investment Advisors	Gokaldas Intimatewear (Enamor)	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	1	12-Jun	2012	0.0	
7630	Alternative Capital Partners (Alter-Cap)	Abderrahman Allani Industries	MENA	North Africa	Tunisia	TUN	TN	Consumer Goods	Personal & Household Goods	Personal Goods	Personal Products	Textiles, Apparel & Luxury Goods	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital		12-May	2012	0.0	
7631	Syntaxis Capital	Info-TV Operator	CEE & CIS	Central & Eastern Europe (CEE)	Poland	POL	PL	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Credit	Mezzanine	9	12-May	2012		
7632	Enterprise Investors	Nortal	CEE & CIS	Central & Eastern Europe (CEE)	Estonia	EST	EE	Technology	Technology	Software & Computer Services	Software	Software	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Growth	1	12-May	2012	0.0	13.99555458
7633	LIV Capital	Tecnoidea/Mastretta	Latin America	Central America	Mexico	MEX	MX	Consumer Goods	Automobiles & Parts	Automobiles & Parts	Automobiles	Automobiles	M Industrial & Consumer Products	Industrial & Consumer Products	Private Equity	Venture Capital	0.4	12-May	2012	0.0	
7634	The Abraaj Group, AfricInvest	UAP Holdings	Sub-Saharan Africa	East Africa	Kenya	KEN	KE	Financials	Insurance	Nonlife Insurance	Full Line Insurance	Insurance	O Finance & Insurance	Finance & Insurance	Private Equity	Growth	44	12-May	2012	1.0	144.6588014
7635	Altra Investments	Servicios Generales Saturno	Latin America	South America	Peru	PER	PE	Industrials	Industrial Goods & Services	Industrial Transportation	Transportation Services	Transportation Infrastructure	E Transportation and Warehousing	Transportation and Warehousing	Private Equity	Growth		12-May	2012	0.0	
7636	Capvent, SMC Capital China, Sumitomo Corporation Equity Asia (SCEA)	Momoyoyo Global	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital		12-May	2012	0.0	
7637	YourNest Angel Fund	Just4kids Services (Mycity4Kids)	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Internet	Internet Software & Services	N Information	Information	Private Equity	Venture Capital		12-May	2012	0.0	
7638	Gulf Capital	Orion Group	CEE & CIS	Central & Eastern Europe (CEE)	Turkey	TUR	TR	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Credit	Mezzanine	20	12-May	2012		
7639	The Abraaj Group	Bank of Africa Kenya	Sub-Saharan Africa	East Africa	Kenya	KEN	KE	Financials	Banks	Banks	Banks	Banks	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		12-May	2012	1.0	
7640	Tremendous Asia Partners (TAP)	EMS Entertainment	Asia	Southeast Asia	Singapore	SGP	SG	Consumer Services	Travel & Leisure	Travel & Leisure	Recreational Services	Hotels, Restaurants & Leisure	U Accommodation & Tourism Services	Accommodation & Tourism Services	Private Equity	Buyout		12-May	2012	0.0	
7641	Tremendous Asia Partners (TAP)	Hi-5	Asia	Southeast Asia	Singapore	SGP	SG	Consumer Services	Media	Media	Broadcasting & Entertainment	Media	N Information	Information	Private Equity	Growth		12-May	2012	0.0	
7642	Global Environment Fund (GEF)	Kalki Communication Technologies	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Support Services	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Credit	Mezzanine	1	12-May	2012		
7643	Global Environment Fund (GEF)	Rocklands	Sub-Saharan Africa	Southern Africa	Swaziland	SWZ	SZ	Basic Materials	Basic Resources	Forestry & Paper	Forestry	Paper & Forest Products	A Agriculture and Forestry	Agriculture & Forestry	Infrastructure & Real Assets	Growth		12-May	2012	1.0	
7644	Zephyr Peacock India	NetAmbit	Asia	South Asia	India	IND	IN	Financials	Financial Services	Financial Services	Specialty Finance	Diversified Financial Services	O Finance & Insurance	Finance & Insurance	Private Equity	Growth		12-May	2012	1.0	
7645	ChinaEquity	Camsing Global	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Specialty Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	19	12-May	2012	0.0	
7646	ChinaEquity	Honest Talent International	Asia	East Asia	China	CHN	CN	Consumer Services	Media	Media	Media Agencies	Media	N Information	Information	Private Equity	Growth	19	12-May	2012	0.0	
7647	Gavea Investimentos	Fibria Celulose	Latin America	South America	Brazil	BRA	BR	Basic Materials	Basic Resources	Forestry & Paper	Paper	Paper & Forest Products	J Pulp & Paper	Pulp & Paper	Private Equity	PIPE	265	12-May	2012	0.0	
7648	Phatisa	Goldenlay	Sub-Saharan Africa	East Africa	Zambia	ZMB	ZM	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Equity	Buyout	24	12-May	2012	1.0	
7649	Goldman Sachs Merchant Banking Division (MBD)	CORE Education & Technologies	Asia	South Asia	India	IND	IN	Technology	Technology	Software & Computer Services	Computer Services	IT Services	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	PIPE	3	12-May	2012	0.0	
7650	Helion Venture Partners, Lightspeed Venture Partners	Fashionara.com	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	8	12-May	2012	0.0	
7651	Fortune Venture Capital	Aiyaya	Asia	East Asia	China	CHN	CN	Consumer Services	Retail	General Retailers	Apparel Retailers	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Growth	16	12-May	2012	0.0	
7652	Warburg Pincus	EA Inc	Asia	East Asia	China	CHN	CN	Health Care	Health Care	Health Care Equipment & Services	Health Care Providers	Health Care Providers & Services	S Health Care	Health Care	Private Equity	Growth		12-May	2012	0.0	
7653	Pearl Capital Partners (PCP)	Wilmar Flowers	Sub-Saharan Africa	East Africa	Kenya	KEN	KE	Consumer Goods	Food & Beverage	Food Producers	Farming, Fishing & Plantations	Food Products	A Agriculture and Forestry	Agriculture & Forestry	Private Equity	Growth	1	12-May	2012	0.0	
7654	Phoenix Capital Management	Petro Ivoire	Sub-Saharan Africa	West Africa	Cote d'Ivoire	CIV	CI	Oil & Gas	Oil & Gas	Oil & Gas Producers	Integrated Oil & Gas	Oil, Gas & Consumable Fuels	B Oil, Gas and Mining	Oil, Gas and Mining	Private Equity	Growth		12-May	2012	0.0	1.331602228
7655	Lok Capital	Hippocampus Learning Center	Asia	South Asia	India	IND	IN	Consumer Services	Retail	General Retailers	Specialized Consumer Services	Specialty Retail	Q Wholesale and Retail Trade	Wholesale and Retail Trade	Private Equity	Venture Capital	1	12-May	2012	1.0	
7656	Accel Partners	JED-I	Asia	South Asia	India	IND	IN	Industrials	Industrial Goods & Services	Support Services	Business Training & Employment Agencies	Commercial Services & Supplies	R Professional, Scientific and Technical Services	Professional, Scientific and Technical Services	Private Equity	Venture Capital	2	12-May	2012	0.0	
