original_name|country_code|mapped_name|mapping_score
ETI (Ecobank)|TG||
eTranzact G Ltd|NG|ETRANZACT|scoreB
Ets BIS|CD||
Europlan|RU|LIMITED LIABILITY COMPANY EUROPLAN|scoreA
Everest Edusys|IN||
Evolvence|MNA|EVOLVENCE CAPITAL LIMITED (Alias: EVOLVENCE GROUP)|scoreB
Exact Sales|BR||
Exim Bank Vietna|VN||
ExpertPhoto|RU|LIMITED LIABILITY COMPANY EXPERT PROMO|scoreB
Exploramed|CN||
Extended Suites|MX|EXTENDED SUITES GLOBAL SOURCING SA DE CV|scoreC
Extong|CN||
Ezysolare|IN||
Fabrar Rice|LR||
Facility Management Co.|LR||
FADES|BO||
Fairfield|ZA|FAIRFIELD DAIRY (PTY) LTD|scoreB
Falcon|CZ|FALCON MIMON, A.S.|scoreA
Fasten|US|FASTEN INC|scoreA
Fawaz Trading|CD||
Fawry|EG|FAWRY BANKING & PAYMENT TECHNOLOGY SERVICES (Alias: FAWRY)|scoreA
FDD|WLD|V.D.D. GMBH.|scoreA
Fengguang BioFan|CN|FENG TAI XIAN KANG GUAN DA YAO FANG|scoreE
FERCO|HN||
Ferlo Societe|SN||
FFM/FestivalMall|NG||
FibreCo|ZA|FIBRE COM (PTY) LTD|scoreB
Fibrex Angola|AO||
Fifth Season|ZA|FIFTH SEASON INVESTMENTS 22 (PTY) LTD|scoreE
Fillr|AU|THE TRUSTEE FOR THE FILLREED PROPERTY TRUST (Alias: FILLREED PTY LTD)|scoreE
Finance Salone|SL||
Finapack|MA|FINAPACK SA|scoreA
Finestrella|MX|FINESTRELLA SAPI|scoreA
Fintech Innovation Program|SG|JET FINTECH INNOVATIONS PTE. LTD.|scoreC
First City Bank|NG|FIRST CITY MONUMENT BANK LTD|scoreB
First Hydro FHN|NG||
First Hydro FHN|NG||
Flareum|IN|FLAREUM TECHNOLOGIES PRIVATE LIMITED|scoreB
FLASHHOLD|CN||
Flemingo|IN|FLEMINGO (DFS) PRIVATE LIMITED|scoreB
Fluent City|WLD|FLUENT CITY|scoreA
FM Plastic|BD|RFL PLASTIC LIMITED|scoreC
Fogo de Chao|BR|FOGO'S CHURRASCARIA LTDA (Alias: FOGO DE CHAO)|scoreA
Folti|KZ||
Food Svc HORACEA|GE||
Forecast|KE|FORECASTEL LIMITED|scoreB
Frank & T Investment Limited|MW|PLENTATION HOUSE INVESTMENTS LIMITED|scoreD
Fruehauf|MX|FRUEHAUF DE MEXICO SA DE CV|scoreB
Funshion Network|CN|FUNXUN NETWORK COMPANY LIMITED|scoreC
Futian (Midsino)|CN||
Futurus|CN||
FVCI|IN||
Gameplay|RU|GAMEPLAY LLC|scoreA
Gap Year Global|WLD|GAP YEAR GLOBAL INC|scoreA
Garden City Business Park|KE|THE GARDEN OF EDEN BUSINESS PARK|scoreB
Gate Healthcare Pak|PK|ACE HEALTHCARE (PVT.) LIMITED|scoreC
GATEX|MG||
G-banker|CN|G-BANKER.COM|scoreB
GEB Gimnasios Americanos|MX||
Gee Fresh|SL||
Geeks Holding|AE||
Geli|US|GE LI|scoreA
GEMET|MX|GEMETEC SA|scoreD
Geneze S.A.|BR|DA MAIDA PRODUTOS ALIMENTICIOS LTDA - ME (Alias: GENEZY)|scoreB
GENHIDRO|GT||
Gerant de Leternel|CD||
Gerber Plant|CR||
GJEL|IN||
GJRL|IN||
Glowship|IN||
glrl|IN||
GMR|IN|GMR INFRASTRUCTURE LIMITED|scoreB
GNG East|UA||
Gogo Time|KY||
Golden Lay|ZM|GOLDEN LAY LTD|scoreB
Golf Ice Cream|TR||
Green Alternative properties ltd|NA|ALTERNATIVE PROPERTIES CC|scoreB
Green Power Corp|HN||
Greensync|AU|GREENSYNC PTY LTD|scoreA
GroGhana|GH||
GroKenya|KE||
GroNigeria|NG||
GroRwanda|RW||
GroSouth|ZA||
GroTanz|TZ||
GroUganda|UG||
Group M&N|CD|GROUPE ORGAMAN|scoreD
GroZambia|ZM|SARO AGRO INDUSTRIAL LIMITED|scoreE
GSR Energy|RU|AIR ENERGY LTD|scoreC
GTA|NG|GTA ENGINEERING NIGERIA LIMITED|scoreE
Guardian (GNPL)|IN||
GUEL|IN||
Guiyang Huochebang|CN|HUO CHE BANG ( GUI YANG ) BAO XIAN JING JI YOU XIAN GONG SI|scoreB
Gushengtang|CN||
GVL Homebuilding|CR||
Handy|HK||
Haplox|CN||
Hazelcast|TR|HAZEL BILISIM LIMITED SIRKETI|scoreE
HCM|MX|HCM SERVICIOS SA|scoreB
HCM Retailer|VN||
HDC|VN|HDC VINA JOINT STOCK COMPANY|scoreB
Headland Corp.|DK||
Helios Towers AF|AFR|HELIOS TOWERS PLC|scoreB
Hexis|CN||
HFC|GH|UG-HFC|scoreC
Higher Ground|WLD|HIGHERGROUND INC|scoreA
Hildebrando|MX|HILDEBRANDO DEL BAJIO SA|scoreB
HiPT|VN|HIPT GROUP JOINT STOCK COMPANY|scoreA
HMY cayman|CN||
Hope Bakery|LR||
Hotels In.|MX|HOTEL MI O SA (Alias: HOTEL MINO SA DE CV)|scoreC
HRLV|GT||
Huaneng|CN|HUANENG TIANJIN IGCC CO., LTD.|scoreB
HYCO SARL|MG||
Hygrotech|ZA|HYGROTECH S A (PTY) LTD|scoreB
Hyperkey|RU|HYPERTECH|scoreC
I & G Tech (ITS)|CR||
IATAI|CO|IATAI LA S A S|scoreA
ICMC Cambodia|EAP|I & C MCCAMMON|scoreE
iDwala|ZA|IDWALA INDUSTRIAL LTD|scoreB
IEX|IN|IEX BUSINESS TOOLS PRIVATE LIMITED|scoreE
IEX|IN|IEX BUSINESS TOOLS PRIVATE LIMITED|scoreE
IFB (education)|PE||
IFMR (KGFS)|IN||
IGE Resources|AFR|IGE RESOURCES LIMITED|scoreA
IHH-USS|BR||
IHS Fund II SA  PVE|ZA|IHS FUND II SA GP (PTY) LTD|scoreB
IHS Fund II SA Rental Trust 4|ZA|IHS FUND II SA GP (PTY) LTD|scoreB
IHS Holding Ltd|AFR|WORKHORSE GROUP INC. (Alias: AMP HOLDING INC)|scoreC
IHS Holding Ltd|AFR|WORKHORSE GROUP INC. (Alias: AMP HOLDING INC)|scoreC
IHS Holding Ltd|AFR|WORKHORSE GROUP INC. (Alias: AMP HOLDING INC)|scoreC
IMCH3|LAC|INTERNATIONAL MULTIMEDIA CORP|scoreE
Impartus|IN|IMPARTUS INNOVATIONS PRIVATE LIMITED|scoreB
Impremerie|MG||
IndiaMart|IN|INDIAMART INTERMESH LIMITED|scoreB
Indo Minerals|MK|S O PRI INDO MINERALS METALS PODRUZNICA RUDNIK ZLETOVO|scoreD
Indorama Nigeria|NG|INDORAMA PET (NIGERIA) LTD|scoreB
Infopress|RO|INFOPRESS SRL|scoreA
Innov|CD||
Inocur|WLD|INOCURE, S.R.O.|scoreB
Intaj|MNA|THE INDUSTRIAL COMMERCIAL AND AGRICULTURAL(THE) P.L.C. (Alias: AL INTAJ)|scoreA
Intellicare|PH|ASALUS CORP (Alias: PRYCE CARE INC.)|scoreE
Intercity|TR||
InterMIMS|LY||
Interswitch|NG|INTERSWITCH LIMITED|scoreA
Interswitch|NG|INTERSWITCH LIMITED|scoreA
Intrapex|SL||
Invenlux|CN|INVENLUX LIMITED|scoreA
IPC 1|PH||
IPC 2|PH||
Irrico Holdings|RU|LIMITED LIABILITY COMPANY IRRICO HOLDING|scoreA
Issco SARL|CD||
Itero|IN|ITERO BIOPHARMACEUTICALS PRIVATE LIMITED|scoreB
ITHL (CAFIC)|KH||
Jabi Lake NigCo|NG|JABI LAKE MALL|scoreC
Jacques RTA|MG|JACQUES CECILE|scoreE
Jaguar Animal|CN||
Janalakshmi|IN|JANALAKSHMI FINANCIAL SERVICES PRIVATE LIMITED|scoreE
Jayapore|IN||
JBL Holdings Ltd|UA|BOKSHOLL HOLDINGS LIMITED KT|scoreB
JD Trading|LR|SEA TRADING CORP.|scoreD
JFSL|IN|JFSL - JLL (JV)|scoreE
JHIL|NG||
Jiezhen|CN||
JM Floating Rate|IN||
Joara-Nayagaon|IN||
JTRCL|IN||
Juxta Labs|MX||
Kadopub Sarl|MG||
Kadrik|SL||
Kalikuti Investment|MW|PARIE INVESTMENT|scoreD
Kathu CSP|ZA|KATHU GLORIA ONDERDELE CC (Alias: KATHU MIDAS)|scoreE
Kayak Limited|MW||
Kayalar|TR|KAYALAR GIRISIM ANONIM SIRKETI|scoreB
Kemer Medical|ECS|KEMPER MEDICAL INC|scoreB
Kennedy Matashi|ZA||
Kensta|SSA|KENSTA HANDELSBOLAG|scoreA
Kevro|ZA|KEVRO (PTY) LTD|scoreA
Kharabeesh|AE||
Khobab|ZA|THEBE KHOBAB WIND (RF) (PTY) LTD (Previous name: THEBE KHOBAB WIND (PTY) LTD)|scoreE
Kiboko Holdings|SSA|KIBOKO HOLDING COMPANY LIMITED|scoreA
Kickstart Peru|PE||
Kid Admit|WLD|HENKEL, DIANA LOUISE (Alias: KIDADMIN)|scoreB
Kids Fun Plaza|WLD|KIDS FUN PLAZA INC|scoreA
Kinangop Wind|AFR|KINANGOP LIMITED|scoreB
KLN|CD||
Knets China|CN||
Koba|CO|KOBA COLOMBIA S A S|scoreB
Konfio|MX|KONFID SA|scoreB
Korsando Limited|UA|PREDSTAVNITSTVO KORSANDO LIMITED PREDST.|scoreC
Koubei|CN|KOU BEI GU FEN YOU XIAN GONG SI|scoreA
KPPL|IN|KOTHARI PROCESSORS PRIVATE LIMITED|scoreE
Kredivo|SG||
Kris Star Lodge|MW||
KT Finance|CN||
KTG|VN|KTG DISTRIBUTION NORTH JOINT STOCK COMPANY|scoreE
Kungfu Fast Food|CN||
Kunoch Hotels Lt|NG||
KVTC|AFR|KVTC SIA|scoreA
KWFT|KE|KWFT INSURANCE AGENCY LTD|scoreC
LA Airports Hold|MX||
La Trinidad|SV|GRUPO TRINIDAD S.A. DE C.V.|scoreC
Lamani Boat|MW||
Lantern Mall|NG|LANTERN MARINE LIMITED|scoreE
Lape|ID||
LAPO MFI|NG||
Lasta Multimedia|VN|CONG TY TNHH TRUYEN THONG SENTA|scoreE
Laurus|AFR|FABRICA DE PAPEL PONTE REDONDA, S.A. (Previous name: LAURUS, S.A.)|scoreA
LCBS Dhaka|BD||
Le Genie|MG||
Learners Guild|WLD|LEARNERS GUILD LLC|scoreA
Lejack|CD||
Lekki Blue Water_ CAPIC Fund|NG||
Lemchabang Port|TH||
L'Equipe Monteur|AR|L EQUIPE MONTEUR SA|scoreA
Les Elites|CD||
Lexander|CZ||
LF Properties Development CC|NA|DDR PROPERTIES AND DEVELOPMENT CC|scoreB
Li Tong|CN||
Liberia Woodwork|LR||
Light E Holding|CL|LIGHT E HOLDING LTD|scoreA
Lilas|MA|STE INSTITUTION LES LILAS (Alias: LES LILAS)|scoreA
